site_id,lat,lon,IGBP,ELE
US-Ne3,41.1797,-96.4397,CRO,363
US-PFa,45.9459,-90.2723,MF,470
US-Prr,65.1237,-147.4876,ENF,210
US-SRM,31.8214,-110.8661,WSA,1120
US-Snd,38.0366,-121.754,GRA,-5
US-Sta,41.3966,-106.8024,OSH,2069
US-Twt,38.1087,-121.6531,CRO,-7
US-Uaf,64.8663,-147.8555,ENF,155
US-WCr,45.8059,-90.0799,DBF,520
US-Wi0,46.6188,-91.0814,ENF,349
US-Wi1,46.7305,-91.2329,DBF,352
US-Wi2,46.6869,-91.1528,ENF,395
US-Wi3,46.6347,-91.0987,DBF,411
US-Wi4,46.7393,-91.1663,ENF,352
US-Wi5,46.6531,-91.0858,ENF,353
US-Wi6,46.6249,-91.2982,OSH,371
US-Wi7,46.6491,-91.0693,OSH,335
US-Wi8,46.7223,-91.2524,DBF,348
US-Wi9,46.7385,-91.0746,ENF,350
ZA-Kru,-25.0197,31.4969,SAV,359
ZM-Mon,-15.4391,23.2525,DBF,1053
AR-TF1,-54.9733,-66.7335,WET,40
BR-CST,-7.9682,-38.3842,DNF,468
BR-Npw,-16.498,-56.412,WSA,120
CA-ARB,52.695,-83.9452,WET,90
CA-ARF,52.7008,-83.955,WET,88
CA-Ca1,49.8673,-125.3336,ENF,300
CA-Ca2,49.8705,-125.2909,ENF,300
CA-Cbo,44.3167,-79.9333,DBF,120
CA-DB2,49.119,-122.9951,WET,4
CA-DBB,49.1293,-122.9849,WET,4
CA-ER1,43.6405,-80.4123,CRO,370
CA-Gro,48.2167,-82.1556,MF,340
CA-LP1,55.1119,-122.8414,ENF,751
CA-MA1,50.1645,-97.8762,CRO,261
CA-MA2,50.171,-97.8762,CRO,261
CA-MA3,50.1774,-97.8686,GRA,261
CA-Qfo,49.6925,-74.3421,ENF,382
CA-TP1,42.6609,-80.5595,ENF,265
CA-TP3,42.7068,-80.3483,ENF,184
CA-TPD,42.6353,-80.5577,DBF,260
PE-QFR,-3.8344,-73.319,WET,104
US-A32,36.8193,-97.8198,GRA,335
US-A74,36.8085,-97.5489,CRO,337
US-ALQ,46.0308,-89.6067,WET,
US-AR1,36.4267,-99.42,GRA,611
US-AR2,36.6358,-99.5975,GRA,646
US-ARM,36.6058,-97.4888,CRO,314
US-Bar,44.0646,-71.2881,DBF,272
US-Bi1,38.0992,-121.4993,CRO,-2.7
US-Bi2,38.1091,-121.5351,CRO,-5
US-BRG,39.2167,-86.5406,GRA,180
US-BZB,64.6955,-148.3208,WET,100
US-BZF,64.7013,-148.3121,WET,95
US-BZo,64.6936,-148.33,WET,100
US-BZS,64.6963,-148.3235,ENF,100
US-CF1,46.7815,-117.0821,CRO,794
US-CF2,46.784,-117.0908,CRO,807
US-CF3,46.7551,-117.1261,CRO,795
US-CF4,46.7518,-117.1285,CRO,795
US-CRT,41.6285,-83.3471,CRO,180
US-CS1,44.1031,-89.5379,CRO,328
US-CS2,44.1467,-89.5002,ENF,328
US-CS3,44.1394,-89.5727,CRO,328
US-CS4,44.1597,-89.5475,CRO,328
US-DFC,43.3448,-89.7117,CRO,264.9
US-DS3,38.1235,-121.549,CRO,-7
US-EDN,37.6156,-122.114,WET,
US-EML,63.8784,-149.2536,OSH,662
US-Fcr,65.3968,-148.9348,OSH,265
US-Fmf,35.1426,-111.7273,ENF,2160
US-Fuf,35.089,-111.762,ENF,2180
US-GLE,41.3665,-106.2399,ENF,3197
US-Ha1,42.5378,-72.1715,DBF,340
US-HB1,33.3455,-79.1957,WET,0.1
US-HB2,33.3242,-79.244,ENF,4.7
US-HB3,33.3482,-79.2322,ENF,7.3
US-Hn2,46.6889,-119.4641,GRA,117.5
US-Hn3,46.6878,-119.4614,OSH,120.9
US-Ho2,45.2091,-68.747,ENF,61
US-HWB,40.8608,-77.8488,CNM,378
US-ICh,68.6068,-149.2958,OSH,940
US-ICs,68.6058,-149.311,WET,920
US-ICt,68.6063,-149.3041,OSH,930
US-Jo1,32.582,-106.635,OSH,1188
US-Jo2,32.5849,-106.6032,OSH,1469
US-KFS,39.0561,-95.1907,GRA,310
US-KLS,38.7745,-97.5684,GRA,373
US-Kon,39.0824,-96.5603,GRA,417
US-KS3,28.7084,-80.7427,WET,0
US-Lin,36.3566,-119.0922,CRO,131
US-Me2,44.4526,-121.5589,ENF,1253
US-Me6,44.3233,-121.6078,ENF,998
US-MMS,39.3232,-86.4131,DBF,275
US-Mo1,39.2298,-92.1167,CRO,260
US-Mo2,38.9488,-91.9945,GRA,275
US-Mo3,39.2322,-92.1493,CRO,261
US-MOz,38.7441,-92.2,DBF,219.4
US-Mpj,34.4385,-106.2377,WSA,2196
US-Myb,38.0499,-121.765,WET,-4
US-NC1,35.8118,-76.7119,ENF,5
US-NC3,35.799,-76.656,ENF,5
US-NC4,35.7879,-75.9038,WET,1
US-Ne1,41.1651,-96.4766,CRO,361
US-NGB,71.28,-156.6092,SNO,5.273
US-NGC,64.8618,-163.7002,GRA,35
US-NR1,40.0329,-105.5464,ENF,3050
US-Oho,41.5545,-83.8438,DBF,230
US-ONA,27.3836,-81.9509,GRA,25
US-ORv,40.0201,-83.0183,WET,221
US-OWC,41.3795,-82.5125,WET,174
US-Pnp,43.0896,-89.4158,WAT,260
US-RGA,34.4159,-91.6733,CRO,61
US-RGB,39.5782,-121.8579,CRO,33
US-RGo,39.6805,-122.0026,CRO,40
US-Rls,43.1439,-116.7356,CSH,1608
US-Rms,43.0645,-116.7486,CSH,2111
US-Ro1,44.7143,-93.0898,CRO,290
US-Ro2,44.7288,-93.0888,CRO,292
US-Ro4,44.6781,-93.0723,GRA,274
US-Ro5,44.691,-93.0576,CRO,283
US-Ro6,44.6946,-93.0578,CRO,282
US-Rpf,65.1198,-147.429,DBF,497
US-Rwf,43.1207,-116.7231,CSH,1878
US-Rws,43.1675,-116.7132,OSH,1425
US-Seg,34.3623,-106.702,GRA,1596
US-Ses,34.3349,-106.7442,OSH,1604
US-Sne,38.0369,-121.7547,GRA,-5
US-Snf,38.0402,-121.7272,GRA,-4
US-SRC,31.9083,-110.8395,OSH,950
US-SRG,31.7894,-110.8277,GRA,1291
US-Srr,38.2006,-122.0264,WET,8
US-SRS,31.8173,-110.8508,WSA,1169
US-StJ,39.0882,-75.4372,WET,6.7
US-Syv,46.242,-89.3477,MF,540
US-Ton,38.4309,-120.966,WSA,177
US-Tw1,38.1074,-121.6469,WET,-5
US-Tw2,38.0969,-121.6365,CRO,-5
US-Tw3,38.1152,-121.6469,CRO,-4
US-Tw4,38.1027,-121.6413,WET,-5
US-Tw5,38.1072,-121.6426,WET,-5
US-UM3,45.5686,-84.6707,WAT,234
US-UMB,45.5598,-84.7138,DBF,234
US-UMd,45.5625,-84.6975,DBF,239
US-Var,38.4133,-120.9508,GRA,129
US-Vcm,35.8884,-106.5321,ENF,3030
US-Vcp,35.8642,-106.5967,ENF,2500
US-Whs,31.7438,-110.0522,OSH,1370
US-Wjs,34.4255,-105.8615,SAV,1931
US-Wkg,31.7365,-109.9419,GRA,1531
US-WPT,41.4646,-82.9962,WET,175
US-xAB,45.7624,-122.3303,ENF,363
US-xAE,35.4106,-99.0588,GRA,516
US-xBA,71.2824,-156.6194,WET,6
US-xBL,39.0603,-78.0716,DBF,183
US-xBN,65.154,-147.5026,ENF,263
US-xBR,44.0639,-71.2873,DBF,232
US-xCL,33.4012,-97.57,GRA,259
US-xCP,40.8155,-104.7456,GRA,1654
US-xDC,47.1617,-99.1066,GRA,559
US-xDJ,63.8811,-145.7514,ENF,529
US-xDL,32.5417,-87.8039,MF,22
US-xDS,28.125,-81.4362,CNM,15
US-xGR,35.689,-83.5019,DBF,579
US-xHA,42.5369,-72.1727,DBF,351
US-xHE,63.8757,-149.2133,OSH,705
US-xJE,31.1948,-84.4686,ENF,44
US-xJR,32.5907,-106.8425,OSH,1329
US-xKA,39.1104,-96.6129,GRA,1329
US-xKZ,39.1008,-96.5631,GRA,381
US-xMB,38.2483,-109.3883,OSH,1767
US-xML,37.3783,-80.5248,DBF,1126
US-xNG,46.7697,-100.9154,GRA,578
US-xNQ,40.1776,-112.4524,OSH,1685
US-xRM,40.2759,-105.5459,ENF,2743
US-xSB,29.6893,-81.9934,ENF,45
US-xSC,38.8929,-78.1395,DBF,361
US-xSE,38.8901,-76.56,DBF,15
US-xSJ,37.1088,-119.7323,SAV,368
US-xSL,40.4619,-103.0293,CRO,1364
US-xSR,31.9107,-110.8355,OSH,983
US-xST,45.5089,-89.5864,DBF,481
US-xTA,32.9505,-87.3933,ENF,135
US-xTR,45.4937,-89.5857,DBF,472
US-xUK,39.0404,-95.1921,DBF,335
US-xUN,46.2339,-89.5373,MF,518
US-xWD,47.1282,-99.2414,GRA,579
US-xYE,44.9535,-110.5391,ENF,2116
BE-Bra,51.30761,4.51984,ENF,16
BE-Dor,50.311874,4.968113,GRA,253
BE-Lon,50.55162,4.746234,CRO,170
BE-Maa,50.97987,5.631851,CSHs,87
BE-Vie,50.304962,5.998099,MF,490
BE-Wm1,51.296432,4.6572485,CRO,
BE-Wm2,51.29747,4.6624384,CRO,
CD-Ygb,0.814444,24.502472,MF,466
CH-BaK,47.56173,7.58049,URB,
CH-Dav,46.81533,9.85591,ENF,1689
CZ-BK1,49.502075,18.536882,ENF,875
CZ-Lnz,48.68155,16.946331,DBF,150
CZ-wet,49.02465,14.77035,WET,426
DE-Amv,52.1757,6.95543,WET,
DE-BeR,52.457233,13.315827,URB,57
DE-Brs,52.2966,10.4487,CRO,78
DE-Fen,47.83292,11.06056,GRA,595
DE-Geb,51.09973,10.91463,CRO,161.5
DE-Gri,50.95004,13.51259,GRA,385
DE-GsB,52.029648,11.10478,GRA,81
DE-Gwg,47.57083,11.03261,GRA,864
DE-Hai,51.079407,10.452089,DBF,438.7
DE-Har,47.933,7.5981,MF,201
DE-HoH,52.08656,11.22235,DBF,193
DE-Hzd,50.96381,13.48978,DBF,395
DE-Kie,52.97343,13.64393,ENF,63
DE-Kli,50.89306,13.52238,CRO,478
DE-Msr,47.80918,11.456168,ENF,602.07
DE-Okd,53.412598,9.092467,GRA,
DE-RuR,50.621914,6.304126,GRA,514.7
DE-RuS,50.865906,6.4471445,CRO,103.2
DE-RuW,50.50493,6.3309627,ENF,610
DE-SfN,47.80639,11.3275,WET,590
DE-Tha,50.96256,13.56515,ENF,380
DK-RCW,55.680683,12.101398,forest,
DK-Sor,55.48587,11.644645,DBF,40
ES-LMa,39.94033,-5.77465,SAV,265
FI-Ant,63.16358,27.2347,CRO,
FI-Hyy,61.84741,24.29477,ENF,181
FI-Ken,67.98721,24.24301,ENF,347
FI-Kmp,60.20289,24.9611,URB,26
FI-Kvr,61.84662,24.2804,WAT,141
FI-Let,60.64183,23.95952,ENF,125
FI-Lom,67.99724,24.209179,WET,247
FI-Ouk,66.37752,29.30768,WET,
FI-Sii,61.83265,24.19285,WET,160
FI-Sod,67.36239,26.63859,ENF,180
FI-Tvm,59.8418,23.2503,WAT,1
FI-Var,67.7549,29.61,ENF,395
FR-Aur,43.54965,1.106103,CRO,250
FR-Bil,44.493652,-0.956092,ENF,39.18
FR-CLt,45.0414,6.41053,GRA,2050.6
FR-EM2,49.87211,3.02065,CRO,85
FR-FBn,43.24079,5.67865,ENF,436
FR-Fon,48.476357,2.780096,DBF,103
FR-Gri,48.84422,1.95191,CRO,125
FR-Hes,48.6741,7.06465,DBF,310
FR-Lam,43.496437,1.237878,CRO,181
FR-LGt,47.322918,2.284102,WET,153
FR-Lqu,45.6444,2.7349,GRA,1040
FR-Lus,46.414246,0.1206518,GRA,154
FR-Mej,48.1184,-1.79635,GRA,40
FR-MsS,48.53816,5.31187,DBF,383
FR-Pue,43.7413,3.5957,EBF,271
FR-Tou,43.572857,1.37474,GRA,158
GF-Guy,5.2787,-52.9248,EBF,40
GL-Dsk,69.25349,-53.51413,OSH,8
GL-NuF,64.130936,-51.386066,WET,43
GL-ZaF,74.48152,-20.555773,WET,38
GL-ZaH,74.4733,-20.550869,GRA,41
GR-HeK,35.33613,25.1328,URB,30
GR-HeM,35.32343,25.13017,URB,69
GR-Prt,39.5434,21.4989,ENF,1350
IE-Cra,53.32309,-7.641774,WET,
IE-Doa,52.94873,-7.253945,DBF,
IE-GtF,53.040253,-8.001742,GRA,
IE-JtC,52.298187,-6.499806,GRA,
IE-LmW,53.45647,-9.89284,WET,
IT-BCi,40.52375,14.957444,CRO,10
IT-BFt,45.197754,10.741966,DBF,23
IT-Col,41.8494,13.5881,DBF,
IT-Cp2,41.704266,12.357293,MF,19
IT-Lpd,35.5252,12.5365,OSH,
IT-Lsn,45.740482,12.750297,OSH,1
IT-MBo,46.01468,11.045831,GRA,1550
IT-Niv,45.49091,7.13943,GRA,2750
IT-Noe,40.606174,8.151694,CSH,25
IT-OXm,43.774464,11.255111,URB,66
IT-PCm,40.8741,14.2504,EBF,148
IT-Ren,46.58686,11.43369,ENF,1735.6
IT-Sas,40.716957,8.575956,URB,
IT-SR2,43.73202,10.29091,ENF,4
IT-Tor,45.84444,7.578055,GRA,2168
IT-TrF,45.82376,7.56089,DNF,2100
NL-Loo,52.166447,5.74355,ENF,33
NO-Hur,60.37163,11.07949,ENF,275.1308
SE-Deg,64.18203,19.55654,WET,270
SE-Htm,56.09763,13.41897,ENF,115
SE-Myc,58.36503,12.1694,WET,93
SE-Nor,60.0865,17.479504,ENF,45
SE-Sto,68.35594,19.045208,WET,351.893
SE-Svb,64.25611,19.7745,ENF,267
UK-AMo,55.792545,-3.2436917,WET,270
